IATA,City,Airport
BHM,Birmingham,Birmingham–Shuttlesworth International Airport
DHN,Dothan,Dothan Regional Airport
HSV,Huntsville,Huntsville International Airport (Carl T. Jones Field)
MOB,Mobile,Mobile Regional Airport
MGM,Montgomery,Montgomery Regional Airport (Dannelly Field)
MRI,Anchorage,Merrill Field
ANC,Anchorage,Ted Stevens Anchorage International Airport
BET,Bethel,Bethel Airport (also see Bethel Seaplane Base)
CDV,Cordova,Merle K. (Mudhole) Smith Airport
SCC,Deadhorse,Deadhorse Airport (Prudhoe Bay Airport)
DLG,Dillingham,Dillingham Airport
FAI,Fairbanks,Fairbanks International Airport
GST,Gustavus,Gustavus Airport
HOM,Homer,Homer Airport
JNU,Juneau,Juneau International Airport
ENA,Kenai,Kenai Municipal Airport
KTN,Ketchikan,Ketchikan International Airport
AKN,King Salmon,King Salmon Airport
KLW,Klawock,Klawock Airport (also see Klawock Seaplane Base)
ADQ,Kodiak,Kodiak Airport (Benny Benson State Airport)
OTZ,Kotzebue,Ralph Wien Memorial Airport
OME,Nome,Nome Airport
PSG,Petersburg,Petersburg James A. Johnson Airport
SIT,Sitka,Sitka Rocky Gutierrez Airport
DUT,Unalaska,Unalaska Airport (Tom Madsen/Dutch Harbor Airport)
BRW,Utqiaġvik (Barrow),Wiley Post–Will Rogers Memorial Airport
WRG,Wrangell,Wrangell Airport (also see Wrangell Seaplane Base)
YAK,Yakutat,Yakutat Airport (also see Yakutat Seaplane Base)
FLG,Flagstaff,Flagstaff Pulliam Airport
AZA,Mesa,Mesa Gateway Airport (formerly Williams AFB)
PGA,Page,Page Municipal Airport
PHX,Phoenix,Phoenix Sky Harbor International Airport
PRC,Prescott,Prescott Municipal Airport (Ernest A. Love Field)
TUS,Tucson,Tucson International Airport
YUM,Yuma,Yuma International Airport / MCAS Yuma
XNA,Fayetteville,Northwest Arkansas National Airport
FSM,Fort Smith,Fort Smith Regional Airport
LIT,Little Rock,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National)
TXK,Texarkana,Texarkana Regional Airport (Webb Field)
ACV,Arcata/Eureka,California Redwood Coast–Humboldt County Airport
BFL,Bakersfield,Meadows Field
BUR,Burbank,Hollywood Burbank Airport
FAT,Fresno,Fresno Yosemite International Airport
LGB,Long Beach,Long Beach Airport (Daugherty Field)
LAX,Los Angeles,Los Angeles International Airport
MRY,Monterey,Monterey Regional Airport
OAK,Oakland,Oakland San Francisco Bay Airport
ONT,Ontario,Ontario International Airport
PSP,Palm Springs,Palm Springs International Airport
RDD,Redding,Redding Regional Airport
SMF,Sacramento,Sacramento International Airport
SAN,San Diego,San Diego International Airport
SFO,San Francisco,San Francisco International Airport
SJC,San Jose,San Jose International Airport
SBP,San Luis Obispo,San Luis Obispo County Regional Airport (McChesney Field)
SNA,Santa Ana,John Wayne Airport
SBA,Santa Barbara,Santa Barbara Municipal Airport (Santa Barbara Airport)
SMX,Santa Maria,Santa Maria Public Airport (Capt G. Allan Hancock Field)
STS,Santa Rosa,Charles M. Schulz–Sonoma County Airport
SCK,Stockton,Stockton Metropolitan Airport
ALS,Alamosa,San Luis Valley Regional Airport (Bergman Field)
ASE,Aspen,Aspen/Pitkin County Airport (Sardy Field)
COS,Colorado Springs,City of Colorado Springs Municipal Airport
DEN,Denver,Denver International Airport
DRO,Durango,Durango–La Plata County Airport
EGE,Eagle/Vail,Eagle County Regional Airport
GJT,Grand Junction,Grand Junction Regional Airport (Walker Field)
GUC,Gunnison,Gunnison–Crested Butte Regional Airport
HDN,Hayden,Yampa Valley Airport (Yampa Valley Regional)
MTJ,Montrose,Montrose Regional Airport
BDL,Hartford,Bradley International Airport
HVN,New Haven,Tweed-New Haven Airport
ILG,Wilmington,Wilmington Airport
DAB,Daytona Beach,Daytona Beach International Airport
FLL,Fort Lauderdale,Fort Lauderdale–Hollywood International Airport
RSW,Fort Myers,Southwest Florida International Airport
VPS,Fort Walton Beach,Destin–Fort Walton Beach Airport / Eglin Air Force Base
GNV,Gainesville,Gainesville Regional Airport
JAX,Jacksonville,Jacksonville International Airport
EYW,Key West,Key West International Airport
MLB,Melbourne,Melbourne Orlando International Airport
MIA,Miami,Miami International Airport
MCO,Orlando,Orlando International Airport
ECP,Panama City,Northwest Florida Beaches International Airport
PNS,Pensacola,Pensacola International Airport
PGD,Punta Gorda,Punta Gorda Airport
SFB,Sanford,Orlando Sanford International Airport
SRQ,Sarasota,Sarasota–Bradenton International Airport
PIE,St. Petersburg,St. Pete–Clearwater International Airport
TLH,Tallahassee,Tallahassee International Airport
TPA,Tampa,Tampa International Airport
VRB,Vero Beach,Vero Beach Regional Airport
PBI,West Palm Beach,Palm Beach International Airport
ABY,Albany,Southwest Georgia Regional Airport
ATL,Atlanta,Hartsfield–Jackson Atlanta International Airport
